Total Nacional,Comunidades y Ciudades Autónomas,Periodo,Total
Total Nacional,,2023T4,139314
Total Nacional,,2023T3,155797
Total Nacional,,2023T2,148091
Total Nacional,,2023T1,149645
Total Nacional,,2022T4,140517
Total Nacional,,2022T3,143876
Total Nacional,,2022T2,145053
Total Nacional,,2022T1,133988
Total Nacional,,2021T4,109085
Total Nacional,,2021T3,118888
Total Nacional,,2021T2,119212
Total Nacional,,2021T1,100041
Total Nacional,,2020T4,76007
Total Nacional,,2020T3,86750
Total Nacional,,2020T2,74346
Total Nacional,,2020T1,103005
Total Nacional,,2019T4,101009
Total Nacional,,2019T3,104182
Total Nacional,,2019T2,107531
Total Nacional,,2019T1,98745
Total Nacional,,2018T4,91101
Total Nacional,,2018T3,96887
Total Nacional,,2018T2,98493
Total Nacional,,2018T1,101512
Total Nacional,,2017T4,74737
Total Nacional,,2017T3,82546
Total Nacional,,2017T2,82826
Total Nacional,,2017T1,78356
Total Nacional,,2016T4,67464
Total Nacional,,2016T3,68057
Total Nacional,,2016T2,75852
Total Nacional,,2016T1,69028
Total Nacional,,2015T4,58868
Total Nacional,,2015T3,62172
Total Nacional,,2015T2,60103
Total Nacional,,2015T1,58707
Total Nacional,,2014T4,56269
Total Nacional,,2014T3,57660
Total Nacional,,2014T2,55238
Total Nacional,,2014T1,54965
Total Nacional,,2013T4,53909
Total Nacional,,2013T3,72790
Total Nacional,01 Andalucía,2023T4,19212
Total Nacional,01 Andalucía,2023T3,22425
Total Nacional,01 Andalucía,2023T2,22402
Total Nacional,01 Andalucía,2023T1,17839
Total Nacional,01 Andalucía,2022T4,22184
Total Nacional,01 Andalucía,2022T3,18582
Total Nacional,01 Andalucía,2022T2,23231
Total Nacional,01 Andalucía,2022T1,16095
Total Nacional,01 Andalucía,2021T4,19007
Total Nacional,01 Andalucía,2021T3,17904
Total Nacional,01 Andalucía,2021T2,16561
Total Nacional,01 Andalucía,2021T1,16106
Total Nacional,01 Andalucía,2020T4,12471
Total Nacional,01 Andalucía,2020T3,15759
Total Nacional,01 Andalucía,2020T2,12010
Total Nacional,01 Andalucía,2020T1,11951
Total Nacional,01 Andalucía,2019T4,16114
Total Nacional,01 Andalucía,2019T3,13571
Total Nacional,01 Andalucía,2019T2,13377
Total Nacional,01 Andalucía,2019T1,10613
Total Nacional,01 Andalucía,2018T4,9878
Total Nacional,01 Andalucía,2018T3,11822
Total Nacional,01 Andalucía,2018T2,11657
Total Nacional,01 Andalucía,2018T1,13180
Total Nacional,01 Andalucía,2017T4,7547
Total Nacional,01 Andalucía,2017T3,10199
Total Nacional,01 Andalucía,2017T2,9648
Total Nacional,01 Andalucía,2017T1,8369
Total Nacional,01 Andalucía,2016T4,8131
Total Nacional,01 Andalucía,2016T3,8398
Total Nacional,01 Andalucía,2016T2,6613
Total Nacional,01 Andalucía,2016T1,8945
Total Nacional,01 Andalucía,2015T4,7303
Total Nacional,01 Andalucía,2015T3,8275
Total Nacional,01 Andalucía,2015T2,7040
Total Nacional,01 Andalucía,2015T1,6287
Total Nacional,01 Andalucía,2014T4,8599
Total Nacional,01 Andalucía,2014T3,10496
Total Nacional,01 Andalucía,2014T2,9060
Total Nacional,01 Andalucía,2014T1,7510
Total Nacional,01 Andalucía,2013T4,8920
Total Nacional,01 Andalucía,2013T3,10111
Total Nacional,02 Aragón,2023T4,4595
Total Nacional,02 Aragón,2023T3,3810
Total Nacional,02 Aragón,2023T2,4448
Total Nacional,02 Aragón,2023T1,3591
Total Nacional,02 Aragón,2022T4,3865
Total Nacional,02 Aragón,2022T3,3331
Total Nacional,02 Aragón,2022T2,3552
Total Nacional,02 Aragón,2022T1,4570
Total Nacional,02 Aragón,2021T4,2807
Total Nacional,02 Aragón,2021T3,3718
Total Nacional,02 Aragón,2021T2,3438
Total Nacional,02 Aragón,2021T1,3569
Total Nacional,02 Aragón,2020T4,2136
Total Nacional,02 Aragón,2020T3,3030
Total Nacional,02 Aragón,2020T2,2397
Total Nacional,02 Aragón,2020T1,2009
Total Nacional,02 Aragón,2019T4,2622
Total Nacional,02 Aragón,2019T3,2200
Total Nacional,02 Aragón,2019T2,2387
Total Nacional,02 Aragón,2019T1,2118
Total Nacional,02 Aragón,2018T4,2449
Total Nacional,02 Aragón,2018T3,2610
Total Nacional,02 Aragón,2018T2,3177
Total Nacional,02 Aragón,2018T1,2192
Total Nacional,02 Aragón,2017T4,2462
Total Nacional,02 Aragón,2017T3,1897
Total Nacional,02 Aragón,2017T2,1663
Total Nacional,02 Aragón,2017T1,1492
Total Nacional,02 Aragón,2016T4,2369
Total Nacional,02 Aragón,2016T3,1979
Total Nacional,02 Aragón,2016T2,2917
Total Nacional,02 Aragón,2016T1,2196
Total Nacional,02 Aragón,2015T4,3044
Total Nacional,02 Aragón,2015T3,1988
Total Nacional,02 Aragón,2015T2,2493
Total Nacional,02 Aragón,2015T1,1356
Total Nacional,02 Aragón,2014T4,1723
Total Nacional,02 Aragón,2014T3,2108
Total Nacional,02 Aragón,2014T2,2917
Total Nacional,02 Aragón,2014T1,1664
Total Nacional,02 Aragón,2013T4,1728
Total Nacional,02 Aragón,2013T3,1939
Total Nacional,03 Asturias,2023T4,1701
Total Nacional,03 Asturias,2023T3,1682
Total Nacional,03 Asturias,2023T2,1326
Total Nacional,03 Asturias,2023T1,1677
Total Nacional,03 Asturias,2022T4,2740
Total Nacional,03 Asturias,2022T3,2856
Total Nacional,03 Asturias,2022T2,1514
Total Nacional,03 Asturias,2022T1,1977
Total Nacional,03 Asturias,2021T4,3374
Total Nacional,03 Asturias,2021T3,3167
Total Nacional,03 Asturias,2021T2,2945
Total Nacional,03 Asturias,2021T1,1051
Total Nacional,03 Asturias,2020T4,1431
Total Nacional,03 Asturias,2020T3,2050
Total Nacional,03 Asturias,2020T2,1025
Total Nacional,03 Asturias,2020T1,1263
Total Nacional,03 Asturias,2019T4,2193
Total Nacional,03 Asturias,2019T3,1234
Total Nacional,03 Asturias,2019T2,1076
Total Nacional,03 Asturias,2019T1,1170
Total Nacional,03 Asturias,2018T4,1076
Total Nacional,03 Asturias,2018T3,1109
Total Nacional,03 Asturias,2018T2,1007
Total Nacional,03 Asturias,2018T1,821
Total Nacional,03 Asturias,2017T4,990
Total Nacional,03 Asturias,2017T3,1105
Total Nacional,03 Asturias,2017T2,858
Total Nacional,03 Asturias,2017T1,863
Total Nacional,03 Asturias,2016T4,770
Total Nacional,03 Asturias,2016T3,579
Total Nacional,03 Asturias,2016T2,537
Total Nacional,03 Asturias,2016T1,853
Total Nacional,03 Asturias,2015T4,410
Total Nacional,03 Asturias,2015T3,516
Total Nacional,03 Asturias,2015T2,740
Total Nacional,03 Asturias,2015T1,723
Total Nacional,03 Asturias,2014T4,762
Total Nacional,03 Asturias,2014T3,777
Total Nacional,03 Asturias,2014T2,1325
Total Nacional,03 Asturias,2014T1,466
Total Nacional,03 Asturias,2013T4,847
Total Nacional,03 Asturias,2013T3,1067
Total Nacional,04 Baleares,2023T4,1438
Total Nacional,04 Baleares,2023T3,1621
Total Nacional,04 Baleares,2023T2,3608
Total Nacional,04 Baleares,2023T1,2502
Total Nacional,04 Baleares,2022T4,3051
Total Nacional,04 Baleares,2022T3,2253
Total Nacional,04 Baleares,2022T2,4039
Total Nacional,04 Baleares,2022T1,3908
Total Nacional,04 Baleares,2021T4,1079
Total Nacional,04 Baleares,2021T3,1266
Total Nacional,04 Baleares,2021T2,1322
Total Nacional,04 Baleares,2021T1,878
Total Nacional,04 Baleares,2020T4,353
Total Nacional,04 Baleares,2020T3,1114
Total Nacional,04 Baleares,2020T2,2316
Total Nacional,04 Baleares,2020T1,1551
Total Nacional,04 Baleares,2019T4,1624
Total Nacional,04 Baleares,2019T3,2015
Total Nacional,04 Baleares,2019T2,2535
Total Nacional,04 Baleares,2019T1,1789
Total Nacional,04 Baleares,2018T4,687
Total Nacional,04 Baleares,2018T3,1650
Total Nacional,04 Baleares,2018T2,1682
Total Nacional,04 Baleares,2018T1,2158
Total Nacional,04 Baleares,2017T4,1163
Total Nacional,04 Baleares,2017T3,997
Total Nacional,04 Baleares,2017T2,1247
Total Nacional,04 Baleares,2017T1,2949
Total Nacional,04 Baleares,2016T4,789
Total Nacional,04 Baleares,2016T3,1053
Total Nacional,04 Baleares,2016T2,2787
Total Nacional,04 Baleares,2016T1,1881
Total Nacional,04 Baleares,2015T4,1866
Total Nacional,04 Baleares,2015T3,1324
Total Nacional,04 Baleares,2015T2,2188
Total Nacional,04 Baleares,2015T1,2008
Total Nacional,04 Baleares,2014T4,773
Total Nacional,04 Baleares,2014T3,1177
Total Nacional,04 Baleares,2014T2,1399
Total Nacional,04 Baleares,2014T1,1577
Total Nacional,04 Baleares,2013T4,761
Total Nacional,04 Baleares,2013T3,989
Total Nacional,05 Canarias,2023T4,5033
Total Nacional,05 Canarias,2023T3,6561
Total Nacional,05 Canarias,2023T2,4366
Total Nacional,05 Canarias,2023T1,7201
Total Nacional,05 Canarias,2022T4,4158
Total Nacional,05 Canarias,2022T3,5631
Total Nacional,05 Canarias,2022T2,4937
Total Nacional,05 Canarias,2022T1,4272
Total Nacional,05 Canarias,2021T4,4083
Total Nacional,05 Canarias,2021T3,3358
Total Nacional,05 Canarias,2021T2,2635
Total Nacional,05 Canarias,2021T1,3423
Total Nacional,05 Canarias,2020T4,2796
Total Nacional,05 Canarias,2020T3,3340
Total Nacional,05 Canarias,2020T2,2452
Total Nacional,05 Canarias,2020T1,4702
Total Nacional,05 Canarias,2019T4,8242
Total Nacional,05 Canarias,2019T3,3203
Total Nacional,05 Canarias,2019T2,2452
Total Nacional,05 Canarias,2019T1,4290
Total Nacional,05 Canarias,2018T4,2716
Total Nacional,05 Canarias,2018T3,1780
Total Nacional,05 Canarias,2018T2,3511
Total Nacional,05 Canarias,2018T1,3178
Total Nacional,05 Canarias,2017T4,2377
Total Nacional,05 Canarias,2017T3,2018
Total Nacional,05 Canarias,2017T2,1997
Total Nacional,05 Canarias,2017T1,2019
Total Nacional,05 Canarias,2016T4,3301
Total Nacional,05 Canarias,2016T3,2625
Total Nacional,05 Canarias,2016T2,3519
Total Nacional,05 Canarias,2016T1,2762
Total Nacional,05 Canarias,2015T4,2666
Total Nacional,05 Canarias,2015T3,2075
Total Nacional,05 Canarias,2015T2,1835
Total Nacional,05 Canarias,2015T1,3027
Total Nacional,05 Canarias,2014T4,4393
Total Nacional,05 Canarias,2014T3,2898
Total Nacional,05 Canarias,2014T2,2683
Total Nacional,05 Canarias,2014T1,2225
Total Nacional,05 Canarias,2013T4,4047
Total Nacional,05 Canarias,2013T3,2995
Total Nacional,06 Cantabria,2023T4,567
Total Nacional,06 Cantabria,2023T3,449
Total Nacional,06 Cantabria,2023T2,693
Total Nacional,06 Cantabria,2023T1,1123
Total Nacional,06 Cantabria,2022T4,1239
Total Nacional,06 Cantabria,2022T3,408
Total Nacional,06 Cantabria,2022T2,921
Total Nacional,06 Cantabria,2022T1,321
Total Nacional,06 Cantabria,2021T4,374
Total Nacional,06 Cantabria,2021T3,737
Total Nacional,06 Cantabria,2021T2,471
Total Nacional,06 Cantabria,2021T1,359
Total Nacional,06 Cantabria,2020T4,527
Total Nacional,06 Cantabria,2020T3,615
Total Nacional,06 Cantabria,2020T2,651
Total Nacional,06 Cantabria,2020T1,612
Total Nacional,06 Cantabria,2019T4,560
Total Nacional,06 Cantabria,2019T3,943
Total Nacional,06 Cantabria,2019T2,1066
Total Nacional,06 Cantabria,2019T1,961
Total Nacional,06 Cantabria,2018T4,969
Total Nacional,06 Cantabria,2018T3,597
Total Nacional,06 Cantabria,2018T2,527
Total Nacional,06 Cantabria,2018T1,527
Total Nacional,06 Cantabria,2017T4,587
Total Nacional,06 Cantabria,2017T3,308
Total Nacional,06 Cantabria,2017T2,456
Total Nacional,06 Cantabria,2017T1,517
Total Nacional,06 Cantabria,2016T4,483
Total Nacional,06 Cantabria,2016T3,577
Total Nacional,06 Cantabria,2016T2,724
Total Nacional,06 Cantabria,2016T1,485
Total Nacional,06 Cantabria,2015T4,449
Total Nacional,06 Cantabria,2015T3,249
Total Nacional,06 Cantabria,2015T2,318
Total Nacional,06 Cantabria,2015T1,262
Total Nacional,06 Cantabria,2014T4,478
Total Nacional,06 Cantabria,2014T3,499
Total Nacional,06 Cantabria,2014T2,351
Total Nacional,06 Cantabria,2014T1,290
Total Nacional,06 Cantabria,2013T4,510
Total Nacional,06 Cantabria,2013T3,743
Total Nacional,07 Castilla y León,2023T4,9218
Total Nacional,07 Castilla y León,2023T3,12067
Total Nacional,07 Castilla y León,2023T2,8877
Total Nacional,07 Castilla y León,2023T1,9012
Total Nacional,07 Castilla y León,2022T4,12015
Total Nacional,07 Castilla y León,2022T3,12750
Total Nacional,07 Castilla y León,2022T2,9632
Total Nacional,07 Castilla y León,2022T1,8531
Total Nacional,07 Castilla y León,2021T4,4661
Total Nacional,07 Castilla y León,2021T3,6101
Total Nacional,07 Castilla y León,2021T2,5663
Total Nacional,07 Castilla y León,2021T1,5719
Total Nacional,07 Castilla y León,2020T4,4378
Total Nacional,07 Castilla y León,2020T3,4766
Total Nacional,07 Castilla y León,2020T2,4058
Total Nacional,07 Castilla y León,2020T1,5478
Total Nacional,07 Castilla y León,2019T4,5184
Total Nacional,07 Castilla y León,2019T3,8436
Total Nacional,07 Castilla y León,2019T2,8037
Total Nacional,07 Castilla y León,2019T1,5024
Total Nacional,07 Castilla y León,2018T4,4293
Total Nacional,07 Castilla y León,2018T3,4401
Total Nacional,07 Castilla y León,2018T2,4034
Total Nacional,07 Castilla y León,2018T1,4830
Total Nacional,07 Castilla y León,2017T4,1792
Total Nacional,07 Castilla y León,2017T3,3494
Total Nacional,07 Castilla y León,2017T2,3012
Total Nacional,07 Castilla y León,2017T1,2274
Total Nacional,07 Castilla y León,2016T4,2733
Total Nacional,07 Castilla y León,2016T3,2529
Total Nacional,07 Castilla y León,2016T2,2478
Total Nacional,07 Castilla y León,2016T1,2658
Total Nacional,07 Castilla y León,2015T4,3349
Total Nacional,07 Castilla y León,2015T3,2924
Total Nacional,07 Castilla y León,2015T2,2581
Total Nacional,07 Castilla y León,2015T1,2171
Total Nacional,07 Castilla y León,2014T4,3359
Total Nacional,07 Castilla y León,2014T3,2484
Total Nacional,07 Castilla y León,2014T2,3373
Total Nacional,07 Castilla y León,2014T1,3474
Total Nacional,07 Castilla y León,2013T4,2485
Total Nacional,07 Castilla y León,2013T3,4283
Total Nacional,08 Castilla - La Mancha,2023T4,5195
Total Nacional,08 Castilla - La Mancha,2023T3,5864
Total Nacional,08 Castilla - La Mancha,2023T2,4954
Total Nacional,08 Castilla - La Mancha,2023T1,5860
Total Nacional,08 Castilla - La Mancha,2022T4,5670
Total Nacional,08 Castilla - La Mancha,2022T3,3301
Total Nacional,08 Castilla - La Mancha,2022T2,4338
Total Nacional,08 Castilla - La Mancha,2022T1,3589
Total Nacional,08 Castilla - La Mancha,2021T4,4000
Total Nacional,08 Castilla - La Mancha,2021T3,3821
Total Nacional,08 Castilla - La Mancha,2021T2,4684
Total Nacional,08 Castilla - La Mancha,2021T1,3016
Total Nacional,08 Castilla - La Mancha,2020T4,1897
Total Nacional,08 Castilla - La Mancha,2020T3,2032
Total Nacional,08 Castilla - La Mancha,2020T2,1841
Total Nacional,08 Castilla - La Mancha,2020T1,3679
Total Nacional,08 Castilla - La Mancha,2019T4,2022
Total Nacional,08 Castilla - La Mancha,2019T3,2845
Total Nacional,08 Castilla - La Mancha,2019T2,3080
Total Nacional,08 Castilla - La Mancha,2019T1,2707
Total Nacional,08 Castilla - La Mancha,2018T4,3016
Total Nacional,08 Castilla - La Mancha,2018T3,2954
Total Nacional,08 Castilla - La Mancha,2018T2,2850
Total Nacional,08 Castilla - La Mancha,2018T1,3261
Total Nacional,08 Castilla - La Mancha,2017T4,2016
Total Nacional,08 Castilla - La Mancha,2017T3,3532
Total Nacional,08 Castilla - La Mancha,2017T2,2485
Total Nacional,08 Castilla - La Mancha,2017T1,2326
Total Nacional,08 Castilla - La Mancha,2016T4,1448
Total Nacional,08 Castilla - La Mancha,2016T3,2742
Total Nacional,08 Castilla - La Mancha,2016T2,4260
Total Nacional,08 Castilla - La Mancha,2016T1,3404
Total Nacional,08 Castilla - La Mancha,2015T4,1320
Total Nacional,08 Castilla - La Mancha,2015T3,2468
Total Nacional,08 Castilla - La Mancha,2015T2,2394
Total Nacional,08 Castilla - La Mancha,2015T1,2141
Total Nacional,08 Castilla - La Mancha,2014T4,1988
Total Nacional,08 Castilla - La Mancha,2014T3,1861
Total Nacional,08 Castilla - La Mancha,2014T2,1770
Total Nacional,08 Castilla - La Mancha,2014T1,1123
Total Nacional,08 Castilla - La Mancha,2013T4,1100
Total Nacional,08 Castilla - La Mancha,2013T3,1894
